评论
"特别想知道你这自信是如何来的<span class=""url-icon""><img alt=[微笑] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_hehe-4f9f713058.png"" style=""width:1em; height:1em;"" /></span>"
"天天看菊妈在我的朋友圈里发菊姐最新动态～第一手资讯～幸福～<span class=""url-icon""><img alt=[心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/l_xin-8e9a1a0346.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/l_xin-8e9a1a0346.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[心] src=""//h5.sinaimg.cn/m/emoticon/icon/others/l_xin-8e9a1a0346.png"" style=""width:1em; height:1em;"" /></span>我必须炫耀一下哈哈哈哈哈"
"姐唱歌太好听了 我又初恋了<span class=""url-icon""><img alt=[害羞] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_haixiu-d0db32fd6f.png"" style=""width:1em; height:1em;"" /></span>"
准备好啦！！
碧昂丝么
老菊在新的一年，也是很拼的嘛
最酷炫的就是你！
冲鸭，菊菊，给你加油啦
给老菊点赞
内心有些小激动
惊喜夜的亮点会更多
"小板凳坐等啦<span class=""url-icon""><img alt=[爱你] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_aini-2b6c9354c7.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[爱你] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_aini-2b6c9354c7.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[爱你] src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_aini-2b6c9354c7.png"" style=""width:1em; height:1em;"" /></span>"
迫不及待的想欣赏小菊的风采呢
多更博呀，菊姐，特别喜欢你的
菊老师好美啊
我的小眼睛在看菊姐
内心有些小激动
