,名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
168,骑士老虎茶黑糖(武生店),51,2.0,10,奶茶果汁,4.4,37,0,680,武汉市新洲区阳逻街汉施路特1号武生院商业街B141号
169,李记铁板烧(武生店),2423,1.5,13,烧烤,4.5,37,1188,866,武汉市新洲区阳逻街汉施路1号武生院西区商业街12-2号
170,五谷渔粉(武生东区店),897,1.0,0,米粉面馆,4.7,35,47,852,武汉市新洲区阳逻街汉施路特1号武生院商业街东区C159号
171,云南过桥米线（武生店）,1414,1.0,12,米粉面馆,4.7,34,155,784,武汉市新洲区阳逻街武汉生物工程学院商业街西区8号
172,叫了个炸鸡(武生店),1043,2.0,15,炸鸡炸串,4.5,37,102,652,武汉市新洲区阳逻街武湖村二组（武生院轻轨站附近）
173,初遇时光餐厅（武生店）,550,0.0,10,披萨意面,4.4,37,25,758,武汉市新洲区阳逻街汉施路特1号武生院商业街西区29号
174,香满居烤鸭饭(武生店),2076,1.0,0,简餐,4.6,37,173,463,武汉市新洲区阳逻街桥头村七组450号
175,香满居烤鸭饭(武生店),2076,1.0,0,简餐,4.6,37,173,463,武汉市新洲区阳逻街桥头村七组450号
176,遇道小厨川湘菜馆(武生店),801,2.0,0,川湘菜,4.5,37,60,697,武汉市新洲区阳逻街汉施路1号武生院东区商业街B144B号
177,美味时尚田园餐厅(武生店),3024,0.0,0,川湘菜,4.5,37,127,693,武汉市新洲区阳逻街汉施路1号武生院东区商业街B208号
178,香辣馆（武生店）,1021,2.0,10,其他菜系,4.5,37,81,706,武汉市新洲区阳逻街武生院内
179,张亮麻辣烫(武生院东区店),869,2.0,10,麻辣烫,4.1,37,927,622,武汉市新洲区阳逻街汉施公路1号武生院东区商业街B144A号
180,后街小罐私厨(武生店),1344,1.0,0,简餐,4.6,35,122,904,武汉市新洲区阳逻街桥头村六组3号
181,东北人烤肉拌饭​（武生店）,1325,1.0,5,简餐,4.5,37,126,941,武汉市新洲区阳逻街武汉生物工程学院西区商业街3号
182,东北饺子蒸饺,350,1.0,10,米粉面馆,4.1,38,101,1274,武汉市新洲区阳逻街桥头村长河西路4-71号
183,花心卤肉饭,197,1.5,13,香锅砂锅,4.2,35,11,916,武汉市新洲区阳逻街桥头村长河西路444号
184,花心卤肉饭,197,1.5,13,香锅砂锅,4.2,35,11,916,武汉市新洲区阳逻街桥头村长河西路444号
185,湘味缘（武生店）,1492,0.0,0,盖浇饭,4.1,35,104,1005,武汉市新洲区阳逻街汉施路特1号武生院商业街B202号
186,米棒台湾饭团(武生院店),275,1.5,15,简餐,4.7,34,24,851,武汉市新洲区阳逻街汉施路1号武生院西区商业街16号
