名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
老北京卤肉卷(武生店),168,1,0,地方小吃,4.8,36,48,415,武汉市新洲区阳逻街阳光大道时代广场一层27号
疯狂鸡排(武生店),2465,1,13,汉堡,4.7,34,223,917,武汉市新洲区阳逻街汉施路特1号武生院西区商业街5号
光头强铁板饭(武生店),126,0,0,简餐,4.4,35,18,889,武汉市新洲区阳逻街桥头村五组456号
点滴浆坊(武生东街店),69,2,10,奶茶果汁,4.8,37,0,516,武汉市新洲区阳逻街汉施路特1号武汉生物工程学院商业街生苑超市一楼第三间
福莱德汉堡（武生店）,150,2,10,汉堡,4.7,36,0,878,武汉市新洲区阳逻街桥头村长河西路4-17号
味美思滋补汤(武生院店),116,1,0,地方小吃,4.4,37,0,896,武汉市新洲区阳逻街桥头村451号
小四川家常菜(武生店),241,0,10,川湘菜,4.3,32,3,796,武汉市新洲区阳逻街汉施路特1号武生院商业街C158号
吾饮良品(武生店),19,1,8,奶茶果汁,5,37,6,454,武汉市新洲区阳逻街汉施路1号武生院东区商业街A116号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
鲨鱼吃面(武生店),356,1,0,简餐,4.5,37,69,869,武汉市新洲区阳逻街汉施路1号武生院西区商业街13-A号
时光若刻,61,1,12,奶茶果汁,4.8,37,3,423,武汉市新洲区阳逻街汉施路1号武生院商业街东区A201号
西区天天鲜蛋糕店,41,0,10,面包,4.5,36,2,906,武汉市新洲区阳逻街武生院北十商业街7号
巴西烤肉饭（武生店）,73,0,10,地方小吃,4.7,37,4,1005,武汉市新洲区阳逻街桥头村五组
筷易点(武生店),165,0,10,盖浇饭,4.2,37,6,791,武汉市新洲区阳逻街桥头村三组403号
霄張花甲(武生店),776,2,10,简餐,4.5,37,57,875,武汉市新洲区阳逻街武生院内
阿甘超市(武生店),152,1,5,大型超市,4.5,36,0,1,武汉市新洲区阳逻街山河新村98号
22号湘菜馆（武生店）,33,1,10,盖浇饭,4,34,0,701,武汉市新洲区阳逻街武汉生物工程学院商业街西区22号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
九月,220,1,15,汉堡,4.9,36,8,1,武汉市新洲区阳逻街汉施路1号武生院东区商业街A219号
山东黄焖鸡米饭,208,1.5,10,黄焖鸡米饭,3.9,37,17,923,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场2栋29号
有家小馆（武生店）,1661,0,10,简餐,4.3,37,79,924,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场2栋22号
亚米亚米(武生店),135,2,10,披萨意面,4.3,37,13,675,武汉市新洲区阳逻街汉施路特1号武生院商业街东区B209号
家乡味小碗菜(武生店),235,2,0,简餐,4,42,34,2092,武汉市新洲区阳逻街青松村三组职业技术学院东门旁边
水晶泡泡锅（武生店）,619,0,10,香锅砂锅,4.4,37,0,706,武汉市新洲区阳逻街汉施路特1号武生院西区商业街12-B
品好味爱情麻辣烫南京鸭血粉丝汤(武生店),365,1,13,米粉面馆,4.1,37,139,1005,武汉市新洲区阳逻街桥头村五组466号
卤香阁VS卤汁饭（武生店）,3043,0,0,简餐,4.6,32,488,558,武汉市新洲区阳逻街武湖村汉施公路1号东街美食城B栋1层16号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
奇米克蛋糕(武生店）,47,2,20,蛋糕,5,37,7,987,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场2栋4号
轻食煮艺·沙拉暖食,259,2,15,西餐,4.8,37,55,906,武汉市新洲区阳逻街桥头村6组20号
开心猫串串香(武生店),119,1,10,简餐,4.8,34,81,721,武汉市新洲区阳逻街汉施路特1号武生院洞庭水街2号
后街长沙臭豆腐(武生店),277,1,10,地方小吃,4.6,37,28,1000,武汉市新洲区阳逻街桥头村六组517号
茶本茶(武生店),446,1,8,奶茶果汁,4.9,37,161,905,武汉市新洲区阳逻街桥头村五组457号
麻辣香锅(武生店),648,2,15,香锅砂锅,4.1,37,28,618,武汉市新洲区阳逻街汉施路1号武生院商业街西区18号
宜百味泡面食堂(武生店),211,1,12,简餐,4.3,37,43,654,武汉市新洲区阳逻街汉施大道特1号（武汉生物工程学院内）
漢香缘黄焖鸡米饭（武生店）,247,2,10,黄焖鸡米饭,4.2,32,40,591,武汉市新洲区阳逻汉施公路1号武湖东街美食城B栋1层3号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
神户铁板烧(武生店),2638,1.8,13,简餐,4.4,37,788,1113,武汉市新洲区仓埠街杨裴村58
蜜雪冰城(武生店),107,2,8,奶茶果汁,4.8,37,9,705,武汉市新洲区阳逻街汉施路特1号武汉生物工程学院商业街A122号商铺
轻轨站正新鸡排(武生店),496,2,10,炸鸡炸串,4.5,32,56,620,武汉市新洲区阳逻街武湖村1栋1-5层1-1-29号
山东大馅水饺(武生店),1693,1,0,饺子馄饨,4.5,36,356,323,武汉市新洲区阳逻街汉施路1号武生院四季村1号
江西瓦罐汤（武生院店）,590,1,10,米粉面馆,4.7,37,37,796,武汉市新洲区阳逻街武汉生物工程学院商业街西区25号
美味佳肴（武生店）,328,0,10,盖浇饭,4.8,30,17,264,武汉市新洲区阳逻街武生院商业街西区28号
可可烘焙（武生店）,60,1.5,15,蛋糕,4.3,37,7,893,武汉市新洲区阳逻街汉施路特1号武生院商业街
吉米家（武生院店）,615,2,15,简餐,4.6,30,39,166,武汉市新洲区阳逻街汉施路特1号武汉生物工程学院商业街B146号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
卤汁拌饭(武生店),220,0,0,川湘菜,4.6,35,20,918,武汉市新洲区阳逻街桥头村六组19号
爱尚锁骨鸡,681,1,10,简餐,4.7,37,54,851,武汉市新洲区阳逻街汉施路特1号武生院西区商业街13-B号
程记炸酱面（武生店）,322,1.5,10,米粉面馆,4.4,37,33,893,武汉市新洲区阳逻街汉施路特1号武生院商业街B207
贵哥卤肉卷（武生店）,40,0,0,地方小吃,4.7,32,3,802,武汉市新洲区阳逻街武汉生物工程学院商业街北十6号
香辣情麻辣香锅(武生店),1028,1,0,盖浇饭,4.4,34,595,1089,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场1栋19号
万佳坊（武生店）,854,2,0,盖浇饭,4.4,30,26,264,武汉市新洲区阳逻街武生院商业街西区10号
至尊椒香烤鸭饭(武生店),2630,0,0,盖浇饭,4.7,36,246,1,武汉市新洲区阳逻街汉施路1号武湖东街美食城B栋1层13号铺
元和过桥米线(武生店),439,0,0,米粉面馆,4.8,34,22,445,武汉市新洲区阳逻街武生院商业街137号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
冯记招牌水煮鱼(武生店),1913,1.5,10,简餐,4.6,32,142,768,武汉市新洲区阳逻街汉施路1号武生院西区商业街25-2号
黄蜀郎鸡公煲（武生店）,826,2,16,香锅砂锅,4.4,37,34,675,武汉市新洲区阳逻街汉施路特1号武生院东区商业街B205
乐滋烤肉脆皮鸡饭,437,0,10,简餐,4.5,37,17,899,武汉市新洲区阳逻街桥头村六组6-5号
陈香记三鲜煲(武生店),771,0,0,简餐,4.5,37,104,889,武汉市新洲区阳逻街桥头村五组504号
星食茶(武生店),55,1,15,奶茶果汁,4.9,37,6,847,武汉市新洲区阳逻街汉施路特1号武生院商业街西区15-C
呀卤吖(武生院店),191,2,12,简餐,4.6,37,21,551,武汉市新洲区阳逻街武湖村1栋(武汉东街)1楼3号
华莱士炸鸡汉堡(武生店),1501,2,25,汉堡,4.1,38,244,598,武汉市新洲区阳逻街武湖村生物工程学院商业街129号
风味卤汁饭,408,2,10,简餐,4.5,30,45,278,武汉市新洲区阳逻街汉施路1号武生院四季村门店2号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
随便点(武生店),756,2,15,米粉面馆,4.5,37,171,897,武汉市新洲区阳逻街汉施路1号武生院西区商业街11号
老北京爆肚,1155,0,0,简餐,4.7,37,154,827,武汉市新洲区阳逻街高新街58号
梅花王蛋糕（武生店）,51,2,20,蛋糕,4.8,34,18,707,武汉市新洲区阳逻街汉施路特1号武生院商业街B139
东区茶物语,702,1,8,炸鸡炸串,4.9,30,116,416,武汉市新洲区阳逻街汉施路特1号武生院东区商业街110-4号
飞毛腿便利店（武生店）,220,1,5,便利店,4.9,34,9,820,武汉市新洲区阳逻街汉施路特1号武生院西区商业街33-A
叫了个炸鸡,526,2,13,汉堡,4.3,37,20,749,武汉市新洲区阳逻街汉施路特1号武生院商业街C164号
百味美食（武生店）,457,2,10,地方小吃,4.5,40,74,889,武汉市新洲区阳逻街汉施路特1号（武生院内）
百草味零食天地（武生院店）,71,0,20,零食,4.1,37,23,1005,武汉市新洲区阳逻街武生院商业街A120号
名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
合味道(武生店),787,0,0,川湘菜,4.3,37,19,829,武汉是新洲区阳逻街汉施路1号武生院东区商业街C165号
梅花七(武生店),131,0,10,西餐,4.5,37,18,495,武汉市新洲区阳逻街汉施路1号武汉生物工程学院商业街A209
韩式石锅拌饭(武生店),401,1,14,简餐,4.5,34,28,622,武汉市新洲区阳逻街汉施路特1号武生院商业街B141号
